  no.    number of items    number of steps
-----  -----------------  -----------------
    0                 94                 93
    1                 64                 63
    2                 60                 59
    3                 76                 75
    4                 65                 64
    5                 75                 74
    6                 80                 79
    7                 82                 81
    8                 90                 89
    9                 55                 54
   10                 58                 57
   11                 83                 82
   12                 97                 96
   13                 68                 67
   14                 79                 78
   15                 79                 78
   16                 54                 53
   17                 58                 57
   18                 68                 67
   19                100                 99
   20                 59                 58
   21                 74                 73
   22                 89                 88
   23                 93                 92
   24                 80                 79
   25                 95                 94
   26                 61                 60
   27                 51                 50
   28                 52                 51
   29                 52                 51
   30                 82                 81
   31                 50                 49
   32                 75                 74
   33                 60                 59
   34                 91                 90
   35                 98                 97
   36                 66                 65
   37                 76                 75
   38                 82                 81
   39                 56                 55
   40                 66                 65
   41                 64                 63
   42                 87                 86
   43                 80                 79
   44                 96                 95
   45                 52                 51
   46                 60                 59
   47                100                 99
   48                 51                 50
   49                 73                 72
